Province/State,Country/Region,Lat,Long,Date,Value
,Afghanistan,33,65,3/23/2020,1
,Afghanistan,33,65,3/22/2020,1
,Afghanistan,33,65,3/21/2020,0
,Afghanistan,33,65,3/20/2020,0
,Afghanistan,33,65,3/19/2020,0
,Afghanistan,33,65,3/18/2020,0
,Afghanistan,33,65,3/17/2020,0
,Afghanistan,33,65,3/16/2020,0
,Afghanistan,33,65,3/15/2020,0
,Afghanistan,33,65,3/14/2020,0
,Afghanistan,33,65,3/13/2020,0
,Afghanistan,33,65,3/12/2020,0
,Afghanistan,33,65,3/11/2020,0
,Afghanistan,33,65,3/10/2020,0
,Afghanistan,33,65,3/9/2020,0
,Afghanistan,33,65,3/8/2020,0
,Afghanistan,33,65,3/7/2020,0
,Afghanistan,33,65,3/6/2020,0
,Afghanistan,33,65,3/5/2020,0
,Afghanistan,33,65,3/4/2020,0
,Afghanistan,33,65,3/3/2020,0
,Afghanistan,33,65,3/2/2020,0
,Afghanistan,33,65,3/1/2020,0
,Afghanistan,33,65,2/29/2020,0
,Afghanistan,33,65,2/28/2020,0
,Afghanistan,33,65,2/27/2020,0
,Afghanistan,33,65,2/26/2020,0
,Afghanistan,33,65,2/25/2020,0
,Afghanistan,33,65,2/24/2020,0
,Afghanistan,33,65,2/23/2020,0
,Afghanistan,33,65,2/22/2020,0
,Afghanistan,33,65,2/21/2020,0
,Afghanistan,33,65,2/20/2020,0
,Afghanistan,33,65,2/19/2020,0
,Afghanistan,33,65,2/18/2020,0
,Afghanistan,33,65,2/17/2020,0
,Afghanistan,33,65,2/16/2020,0
,Afghanistan,33,65,2/15/2020,0
,Afghanistan,33,65,2/14/2020,0
,Afghanistan,33,65,2/13/2020,0
,Afghanistan,33,65,2/12/2020,0
,Afghanistan,33,65,2/11/2020,0
,Afghanistan,33,65,2/10/2020,0
,Afghanistan,33,65,2/9/2020,0
,Afghanistan,33,65,2/8/2020,0
,Afghanistan,33,65,2/7/2020,0
,Afghanistan,33,65,2/6/2020,0
,Afghanistan,33,65,2/5/2020,0
,Afghanistan,33,65,2/4/2020,0
,Afghanistan,33,65,2/3/2020,0
,Afghanistan,33,65,2/2/2020,0
,Afghanistan,33,65,2/1/2020,0
,Afghanistan,33,65,1/31/2020,0
,Afghanistan,33,65,1/30/2020,0
,Afghanistan,33,65,1/29/2020,0
,Afghanistan,33,65,1/28/2020,0
,Afghanistan,33,65,1/27/2020,0
,Afghanistan,33,65,1/26/2020,0
,Afghanistan,33,65,1/25/2020,0
,Afghanistan,33,65,1/24/2020,0
,Afghanistan,33,65,1/23/2020,0
,Afghanistan,33,65,1/22/2020,0
,Albania,41.1533,20.1683,3/23/2020,4
,Albania,41.1533,20.1683,3/22/2020,2
,Albania,41.1533,20.1683,3/21/2020,2
,Albania,41.1533,20.1683,3/20/2020,2
,Albania,41.1533,20.1683,3/19/2020,2
,Albania,41.1533,20.1683,3/18/2020,2
,Albania,41.1533,20.1683,3/17/2020,1
,Albania,41.1533,20.1683,3/16/2020,1
